Title,Date,RoomType,Season,OccupancyRate,BasePrice,Competitor,ID,haveConnectingRooms,availableViews
,"January 1, 2020",Standard,Off-Season,32,100,Muntaaz Al Bahar,1,TRUE,garden
,"January 2, 2020",Deluxe,Off-Season,32,150,Nazl Al Jabal,2,FALSE,garden
,"January 3, 2020",Suite,Off-Season,32,250,Nazl Al Jabal,3,TRUE,garden
,"January 4, 2020",Standard,Off-Season,14,100,Nazl Al Iqtisad,4,TRUE,garden
,"January 5, 2020",Deluxe,Off-Season,14,150,Nazl Al Iqtisad,5,TRUE,city
,"January 6, 2020",Suite,Off-Season,14,250,Fandak Al Fakhama,6,FALSE,city
,"January 7, 2020",Standard,Off-Season,13,100,Fandak Al Fakhama,7,TRUE,garden
,"January 8, 2020",Deluxe,Off-Season,13,150,Fandak Al Madina,8,TRUE,mountain
,"January 9, 2020",Suite,Off-Season,13,250,Fandak Al Madina,9,TRUE,sea
,"January 10, 2020",Standard,Off-Season,18,100,Fandak Al Madina,10,FALSE,garden
,"January 11, 2020",Deluxe,Off-Season,18,150,Fandak Al Madina,11,TRUE,mountain
,"January 12, 2020",Suite,Off-Season,18,250,Nazl Al Jabal,12,TRUE,sea
,"January 13, 2020",Standard,Off-Season,29,100,Nazl Al Jabal,13,TRUE,garden
,"January 14, 2020",Deluxe,Off-Season,29,150,Fandak Al Fakhama,14,TRUE,garden
,"January 15, 2020",Suite,Off-Season,29,250,Nazl Al Iqtisad,15,FALSE,city
,"January 16, 2020",Standard,Off-Season,29,100,Nazl Al Iqtisad,16,TRUE,sea
,"January 17, 2020",Deluxe,Off-Season,29,150,Muntaaz Al Bahar,17,FALSE,sea
,"January 18, 2020",Suite,Off-Season,29,250,Nazl Al Jabal,18,FALSE,mountain
,"January 19, 2020",Standard,Off-Season,26,100,Fandak Al Madina,19,FALSE,city
,"January 20, 2020",Deluxe,Off-Season,26,150,Fandak Al Madina,20,TRUE,city
,"January 21, 2020",Suite,Off-Season,26,250,Muntaaz Al Bahar,21,FALSE,city
,"January 22, 2020",Standard,Off-Season,3,100,Nazl Al Iqtisad,22,TRUE,city
,"January 23, 2020",Deluxe,Off-Season,3,150,Fandak Al Madina,23,FALSE,sea
,"January 24, 2020",Suite,Off-Season,3,250,Nazl Al Iqtisad,24,FALSE,sea
,"January 25, 2020",Standard,Off-Season,52,100,Muntaaz Al Bahar,25,FALSE,garden
,"January 26, 2020",Deluxe,Off-Season,52,150,Nazl Al Iqtisad,26,FALSE,garden
,"January 27, 2020",Suite,Off-Season,52,250,Nazl Al Iqtisad,27,FALSE,city
,"January 28, 2020",Standard,Off-Season,43,100,Nazl Al Iqtisad,28,FALSE,city
,"January 29, 2020",Deluxe,Off-Season,43,150,Fandak Al Madina,29,FALSE,city
,"January 30, 2020",Suite,Off-Season,43,250,Fandak Al Fakhama,30,FALSE,garden
,"January 31, 2020",Standard,Off-Season,92,100,Nazl Al Jabal,31,TRUE,mountain
,"February 1, 2020",Deluxe,Off-Season,92,150,Nazl Al Iqtisad,32,TRUE,mountain
,"February 2, 2020",Suite,Off-Season,92,250,Nazl Al Iqtisad,33,FALSE,garden
,"February 3, 2020",Standard,Off-Season,27,100,Nazl Al Iqtisad,34,FALSE,garden
,"February 4, 2020",Deluxe,Off-Season,27,150,Fandak Al Fakhama,35,FALSE,garden
,"February 5, 2020",Suite,Off-Season,27,250,Muntaaz Al Bahar,36,TRUE,garden
,"February 6, 2020",Standard,Off-Season,83,100,Fandak Al Madina,37,FALSE,garden
,"February 7, 2020",Deluxe,Off-Season,83,150,Fandak Al Fakhama,38,TRUE,garden
,"February 8, 2020",Suite,Off-Season,83,250,Nazl Al Iqtisad,39,TRUE,city
,"February 9, 2020",Standard,Off-Season,2,100,Fandak Al Fakhama,40,TRUE,city
,"February 10, 2020",Deluxe,Off-Season,2,150,Fandak Al Fakhama,41,TRUE,city
,"February 11, 2020",Suite,Off-Season,2,250,Fandak Al Fakhama,42,TRUE,city
,"February 12, 2020",Standard,Off-Season,48,100,Muntaaz Al Bahar,43,FALSE,garden
,"February 13, 2020",Deluxe,Off-Season,48,150,Nazl Al Jabal,44,FALSE,mountain
,"February 14, 2020",Suite,Off-Season,48,250,Fandak Al Madina,45,FALSE,sea
,"February 15, 2020",Standard,Off-Season,35,100,Muntaaz Al Bahar,46,FALSE,garden
,"February 16, 2020",Deluxe,Off-Season,35,150,Muntaaz Al Bahar,47,FALSE,sea
,"February 17, 2020",Suite,Off-Season,35,250,Nazl Al Jabal,48,TRUE,mountain
,"February 18, 2020",Standard,Off-Season,44,100,Muntaaz Al Bahar,49,FALSE,city
,"February 19, 2020",Deluxe,Off-Season,44,150,Fandak Al Fakhama,50,FALSE,mountain
,"February 20, 2020",Suite,Off-Season,44,250,Fandak Al Fakhama,51,TRUE,garden
,"February 21, 2020",Standard,Off-Season,32,100,Nazl Al Iqtisad,52,FALSE,city
,"February 22, 2020",Deluxe,Off-Season,32,150,Muntaaz Al Bahar,53,TRUE,garden
,"February 23, 2020",Suite,Off-Season,32,250,Nazl Al Iqtisad,54,FALSE,city
,"February 24, 2020",Standard,Off-Season,47,100,Fandak Al Madina,55,TRUE,sea
,"February 25, 2020",Deluxe,Off-Season,47,150,Fandak Al Fakhama,56,FALSE,sea
,"February 26, 2020",Suite,Off-Season,47,250,Fandak Al Madina,57,FALSE,sea
,"February 27, 2020",Standard,Off-Season,61,100,Nazl Al Jabal,58,TRUE,mountain
,"February 28, 2020",Deluxe,Off-Season,61,150,Fandak Al Fakhama,59,TRUE,garden
,"February 29, 2020",Suite,Off-Season,61,250,Fandak Al Madina,60,TRUE,mountain
,"March 1, 2020",Standard,Off-Season,11,100,Nazl Al Jabal,61,TRUE,sea
,"March 2, 2020",Deluxe,Off-Season,11,150,Fandak Al Madina,62,TRUE,garden
,"March 3, 2020",Suite,Off-Season,11,250,Nazl Al Jabal,63,TRUE,sea
,"March 4, 2020",Standard,Off-Season,86,100,Nazl Al Jabal,64,TRUE,mountain
